game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1983-01-01,McGuireReg19590824,FergusonMark19601106,,,
1983-01-03,PowellNeville19630902,BrownOwen19600904,,,
1983-01-08,PowellNeville19630902,BrownOwen19600904,,,
1983-01-18,WoodsRay19650607,HamiltonBryan19461221,,,
1983-01-25,FergusonMark19601106,WarrinerSteve19581218,,,
1983-01-29,FergusonMark19601106,BrownOwen19600904,,,
1983-02-05,WarrinerSteve19581218,BrownOwen19600904,,,
1983-02-15,WarrinerSteve19581218,BrownOwen19600904,,,
1983-02-19,WarrinerSteve19581218,HamiltonBryan19461221,,,
1983-02-26,FergusonMark19601106,WarrinerSteve19581218,,,
1983-02-28,BrownOwen19600904,KerrJohn19591123,,,
